 ================================================================================
 Tracefile : uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mon_8_env_i.logger_handle_ahb
           : /mnt/ussjf-asic2/workarea1/lkamired/niue1z1_tmp/lkamired/wa_performance/SIM/top/ahbfab_cov.m33i_ram0/uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mon_8_env_i_ahb_beat.log
 Logfile   : reports/ahbfab_cov.m33i_ram0/mvc_ahb_mon_8/window.log
         Pointer       HASH(0x4af36c0)
         Transaction               362
         TransferTime           579596
         Pointer       HASH(0x4af3900)
         Transaction               363
         TransferTime           579876
         Pointer       HASH(0x4af3b40)
         Transaction               364
         TransferTime           580161
         Pointer       HASH(0x4af6948)
         Transaction               365
         TransferTime           580571
         Pointer       HASH(0x4af6b88)
         Transaction               366
         TransferTime           580886
         Pointer       HASH(0x4af6dc8)
         Transaction               367
         TransferTime           581206
         Pointer       HASH(0x4af7008)
         Transaction               368
         TransferTime           581511
         Pointer       HASH(0x4af7248)
         Transaction               369
         TransferTime           581881
         Pointer       HASH(0x4af7488)
         Transaction               370
         TransferTime           582236
         Pointer       HASH(0x4af76c8)
         Transaction               371
         TransferTime           582511
         Pointer       HASH(0x4afb1d0)
         Transaction               372
         TransferTime           582841
         Pointer       HASH(0x4afb410)
         Transaction               373
         TransferTime           583206
         Pointer       HASH(0x4afb650)
         Transaction               374
         TransferTime           583516
         Pointer       HASH(0x4afb890)
         Transaction               375
         TransferTime           583841
         Pointer       HASH(0x4afbad0)
         Transaction               376
         TransferTime           584251
         Pointer       HASH(0x4afbd10)
         Transaction               377
         TransferTime           584556
         Pointer       HASH(0x4afbf50)
         Transaction               378
         TransferTime           584831
         Pointer       HASH(0x4affeb8)
         Transaction               379
         TransferTime           585161
         Pointer       HASH(0x4b000f8)
         Transaction               380
         TransferTime           585476
         Pointer       HASH(0x4b00338)
         Transaction               381
         TransferTime           585756
         Pointer       HASH(0x4b00578)
         Transaction               382
         TransferTime           586071
         Pointer       HASH(0x4b007b8)
         Transaction               383
         TransferTime           586441
         Pointer       HASH(0x4b009f8)
         Transaction               384
         TransferTime           586796
         Pointer       HASH(0x4b00c38)
         Transaction               385
         TransferTime           587076
         Pointer       HASH(0x4b04580)
         Transaction               386
         TransferTime           587391
         Pointer       HASH(0x4b047c0)
         Transaction               387
         TransferTime           587721
         Pointer       HASH(0x4b04a00)
         Transaction               388
         TransferTime           588036
         Pointer       HASH(0x4b04c40)
         Transaction               389
         TransferTime           588356
         Pointer       HASH(0x4b04e80)
         Transaction               390
         TransferTime           588671
         Pointer       HASH(0x4b050c0)
         Transaction               391
         TransferTime           589001
         Pointer       HASH(0x4b05300)
         Transaction               392
         TransferTime           589326
         Pointer       HASH(0x4b08c48)
         Transaction               393
         TransferTime           589676
         Pointer       HASH(0x4b08e88)
         Transaction               394
         TransferTime           589951
         Pointer       HASH(0x4b090c8)
         Transaction               395
         TransferTime           590291
         Pointer       HASH(0x4b09308)
         Transaction               396
         TransferTime           590636
         Pointer       HASH(0x4b09548)
         Transaction               397
         TransferTime           590926
         Pointer       HASH(0x4b09788)
         Transaction               398
         TransferTime           591281
         Pointer       HASH(0x4b099c8)
         Transaction               399
         TransferTime           591641
         Pointer       HASH(0x4b0e310)
         Transaction               400
         TransferTime           591956
         Pointer       HASH(0x4b0e550)
         Transaction               401
         TransferTime           592236
         Pointer       HASH(0x4b0e790)
         Transaction               402
         TransferTime           592521
         Pointer       HASH(0x4b0e9d0)
         Transaction               403
         TransferTime           592891
         Pointer       HASH(0x4b0ec10)
         Transaction               404
         TransferTime           593206
         Pointer       HASH(0x4b0ee50)
         Transaction               405
         TransferTime           593516
         Pointer       HASH(0x4b0f090)
         Transaction               406
         TransferTime           593831
         Pointer       HASH(0x4b13bf8)
         Transaction               407
         TransferTime           594171
         Pointer       HASH(0x4b13e38)
         Transaction               408
         TransferTime           594476
         Pointer       HASH(0x4b14078)
         Transaction               409
         TransferTime           594766
         Pointer       HASH(0x4b142b8)
         Transaction               410
         TransferTime           595081
         Pointer       HASH(0x4b144f8)
         Transaction               411
         TransferTime           595441
         Pointer       HASH(0x4b14738)
         Transaction               412
         TransferTime           595756
         Pointer       HASH(0x4b14978)
         Transaction               413
         TransferTime           596046
         Pointer       HASH(0x4b18600)
         Transaction               414
         TransferTime           596361
         Pointer       HASH(0x4b18840)
         Transaction               415
         TransferTime           596721
         Pointer       HASH(0x4b18a80)
         Transaction               416
         TransferTime           597076
         Pointer       HASH(0x4b18cc0)
         Transaction               417
         TransferTime           597356
         Pointer       HASH(0x4b18f00)
         Transaction               418
         TransferTime           597631
         Pointer       HASH(0x4b19140)
         Transaction               419
         TransferTime           597971
         Pointer       HASH(0x4b19380)
         Transaction               420
         TransferTime           598276
         Pointer       HASH(0x4b1cb28)
         Transaction               421
         TransferTime           598556
         Pointer       HASH(0x4b1cd68)
         Transaction               422
         TransferTime           598871
         Pointer       HASH(0x4b1cfa8)
         Transaction               423
         TransferTime           599241
         Pointer       HASH(0x4b1d1e8)
         Transaction               424
         TransferTime           599566
         Pointer       HASH(0x4b1d428)
         Transaction               425
         TransferTime           599876
         Pointer       HASH(0x4b1d668)
         Transaction               426
         TransferTime           600151
         Pointer       HASH(0x4b1d8a8)
         Transaction               427
         TransferTime           600481
         Pointer       HASH(0x4b20e70)
         Transaction               428
         TransferTime           600796
         Pointer       HASH(0x4b210b0)
         Transaction               429
         TransferTime           601076
         Pointer       HASH(0x4b212f0)
         Transaction               430
         TransferTime           601351
         Pointer       HASH(0x4b21530)
         Transaction               431
         TransferTime           601681
         Pointer       HASH(0x4b21770)
         Transaction               432
         TransferTime           602036
         Pointer       HASH(0x4b219b0)
         Transaction               433
         TransferTime           602316
         Pointer       HASH(0x4b21bf0)
         Transaction               434
         TransferTime           602641
         Pointer       HASH(0x4b264f8)
         Transaction               435
         TransferTime           603361
         Pointer       HASH(0x4b26738)
         Transaction               436
         TransferTime           603751
         Pointer       HASH(0x4b26978)
         Transaction               437
         TransferTime           604076
         Pointer       HASH(0x4b26bb8)
         Transaction               438
         TransferTime           604356
         Pointer       HASH(0x4b26df8)
         Transaction               439
         TransferTime           604761
         Pointer       HASH(0x4b27038)
         Transaction               440
         TransferTime           604936
         Pointer       HASH(0x4b27278)

 TraceStart:     213940 ns
 TraceEnd  :     604936 ns
 Starting  :     609046 ns
 Ending    :    1323961 ns

 START pointer HASH(0x49233d8)
 STOP  pointer HASH(0x3876298)
